"JUDET","CATEGORIE_NATIONALA","CATEGORIA_COMUNITARA","MARCA","DESCRIERE_COMERCIALA","TOTAL"
"ALBA","AUTOBUZ","M2","IVECO","DAILY","18"
"ALBA","AUTOBUZ","M2","IVECO","","2"
"ALBA","AUTOBUZ","M3","ANKAI","","2"
"ALBA","AUTOBUZ","M3","AUTOBUZUL","","1"
"ALBA","AUTOBUZ","M3","A8","","1"
"ALBA","AUTOBUZ","M3","BMC","TBX","3"
"ALBA","AUTOBUZ","M3","BMC","","8"
"ALBA","AUTOBUZ","M3","BOVA","FUTURA","3"
"ALBA","AUTOBUZ","M3","BOVA","","4"
"ALBA","AUTOBUZ","M3","DAC","","5"
"ALBA","AUTOBUZ","M3","DENNIS","","1"
"ALBA","AUTOBUZ","M3","FIAT","","2"
"ALBA","AUTOBUZ","M3","GULERYUZ","COBRA","8"
"ALBA","AUTOBUZ","M3","GULERYUZ","","1"
"ALBA","AUTOBUZ","M3","HEULIEZ","GX 107","6"
"ALBA","AUTOBUZ","M3","IFA","","1"
"ALBA","AUTOBUZ","M3","IKARUS","","45"
"ALBA","AUTOBUZ","M3","ISUZU","","1"
"ALBA","AUTOBUZ","M3","IVECO","CENTURY","1"
"ALBA","AUTOBUZ","M3","IVECO","CITY CLASS 12.27","4"
"ALBA","AUTOBUZ","M3","IVECO","KAPENA","1"
"ALBA","AUTOBUZ","M3","IVECO","","4"
"ALBA","AUTOBUZ","M3","KASSBOHRER","","3"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","SETRA","1"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","S215","1"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","","4"
"ALBA","AUTOBUZ","M3","MAN","ED 172","2"
"ALBA","AUTOBUZ","M3","MAN","","21"
"ALBA","AUTOBUZ","M3","MENARINI","","1"
"ALBA","AUTOBUZ","M3","MERCEDES BENZ","VARIO","1"
"ALBA","AUTOBUZ","M3","MERCEDES BENZ","","17"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","O 345","1"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","TOURING","1"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","","3"
"ALBA","AUTOBUZ","M3","NAW","","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","AUWAERTER","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","EUROLINER","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","","2"
"ALBA","AUTOBUZ","M3","OAF","","2"
"ALBA","AUTOBUZ","M3","RENAULT","ARES","5"
"ALBA","AUTOBUZ","M3","RENAULT","","7"
"ALBA","AUTOBUZ","M3","RENAULT VI","ILIADE","1"
"ALBA","AUTOBUZ","M3","RENAULT VI","R 312","6"
"ALBA","AUTOBUZ","M3","RENAULT VI","R312","5"
"ALBA","AUTOBUZ","M3","ROCAR","","37"
"ALBA","AUTOBUZ","M3","ROMAN","","14"
"ALBA","AUTOBUZ","M3","SCANIA","IRIZAR","1"
"ALBA","AUTOBUZ","M3","SCANIA","","5"
"ALBA","AUTOBUZ","M3","SETRA","EVOBUS","3"
"ALBA","AUTOBUZ","M3","SETRA","","8"
"ALBA","AUTOBUZ","M3","STEYR","","2"
"ALBA","AUTOBUZ","M3","TEMSA","OPALIN","2"
"ALBA","AUTOBUZ","M3","TEZELLER","","1"
"ALBA","AUTOBUZ","M3","TOYOTA","","1"
"ALBA","AUTOBUZ","M3","TURKKAR","CITY ANGEL E.D.","1"
"ALBA","AUTOBUZ","M3","VOLVO","STANDARD","1"
"ALBA","AUTOBUZ","M3","VOLVO","9700","1"
"ALBA","AUTOBUZ","M3","VOLVO","","13"
"ALBA","AUTOBUZ","M3","YUTONG","","5"
"ALBA","AUTOMOBIL MIXT","N1","ARO","","18"
"ALBA","AUTOMOBIL MIXT","N1","AUTOBUZUL","","17"
"ALBA","AUTOMOBIL MIXT","N1","BARKAS","","3"
"ALBA","AUTOMOBIL MIXT","N1","DACIA","","1075"
"ALBA","AUTOMOBIL MIXT","N1","DAF","","1"
"ALBA","AUTOMOBIL MIXT","N1","FIAT","","5"
"ALBA","AUTOMOBIL MIXT","N1","FORD","","21"
"ALBA","AUTOMOBIL MIXT","N1","ISUZU","","1"
"ALBA","AUTOMOBIL MIXT","N1","IVECO","","3"
"ALBA","AUTOMOBIL MIXT","N1","LAND ROVER","","1"
"ALBA","AUTOMOBIL MIXT","N1","MAZDA","","9"
"ALBA","AUTOMOBIL MIXT","N1","MERCEDES BENZ","","20"
"ALBA","AUTOMOBIL MIXT","N1","MITSUBISHI","","18"
"ALBA","AUTOMOBIL MIXT","N1","NISSAN","","11"
"ALBA","AUTOMOBIL MIXT","N1","PEUGEOT","","9"
"ALBA","AUTOMOBIL MIXT","N1","RENAULT","","1"
"ALBA","AUTOMOBIL MIXT","N1","ROCAR","","9"
"ALBA","AUTOMOBIL MIXT","N1","TOYOTA","","1"
"ALBA","AUTOMOBIL MIXT","N1","VOLKSWAGEN","","40"
"ALBA","AUTOMOBIL MIXT","N2","AB","","1"
"ALBA","AUTOMOBIL MIXT","N2","AUTOBUZUL","","2"
"ALBA","AUTOMOBIL MIXT","N2","MERCEDES BENZ","","5"
"ALBA","AUTOMOBIL MIXT","N2","ROCAR","","1"
"ALBA","AUTOMOBIL MIXT","N2","SR DAC","","1"
"ALBA","AUTOMOBIL MIXT","N2","VOLKSWAGEN","","2"
"ALBA","AUTOMOBIL MIXT","N3","AB","","2"
"ALBA","AUTOMOBIL MIXT","N3","AUTOMECANICA","","12"
"ALBA","AUTOMOBIL MIXT","N3","ROMAN","","21"
"ALBA","AUTOMOBIL MIXT","","VOLKSWAGEN","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","CATERPILLAR","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","FIAT","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","KOMATSU","","4"
"ALBA","AUTOREMORCHER","N3","AB","","1"
"ALBA","AUTOREMORCHER","N3","DAC","","1"
"ALBA","AUTOREMORCHER","N3","ROMAN","","6"
"ALBA","AUTOREMORCHER","N3","TATRA","","3"
"ALBA","AUTORULOTA","M1","FIAT","","1"
"ALBA","AUTORULOTA","M1","MERCEDES BENZ","","1"
"ALBA","AUTORULOTA","M1","PEUGEOT","","2"
"ALBA","AUTORULOTA","M1","VOLKSWAGEN","","2"
"ALBA","AUTOSPECIALA","M1","ARO","","1"
"ALBA","AUTOSPECIALA","M1","AUDI","","2"
"ALBA","AUTOSPECIALA","M1","DACIA","","6"
"ALBA","AUTOSPECIALA","M1","FIAT","","2"
"ALBA","AUTOSPECIALA","M1","FORD","","1"
"ALBA","AUTOSPECIALA","M1","IVECO","","5"
"ALBA","AUTOSPECIALA","M1","MERCEDES BENZ","","4"
"ALBA","AUTOSPECIALA","M1","MOWAG","","1"
"ALBA","AUTOSPECIALA","M1","RENAULT VI","","1"
"ALBA","AUTOSPECIALA","M1","VOLKSWAGEN","","4"
"ALBA","AUTOSPECIALA","M2","VOLKSWAGEN","","3"
"ALBA","AUTOSPECIALA","N1","AM","","1"
"ALBA","AUTOSPECIALA","N1","ARO","","2"
"ALBA","AUTOSPECIALA","N1","DACIA","","8"
"ALBA","AUTOSPECIALA","N1","FORD","","2"
"ALBA","AUTOSPECIALA","N1","MERCEDES BENZ","","2"
"ALBA","AUTOSPECIALA","N1","METALCAR","","1"
"ALBA","AUTOSPECIALA","N2","AB","","3"
"ALBA","AUTOSPECIALA","N2","AUTOMECANICA","","1"
"ALBA","AUTOSPECIALA","N2","BERLIET","","1"
"ALBA","AUTOSPECIALA","N2","CATERPILLAR","","2"
"ALBA","AUTOSPECIALA","N2","DAC","","2"
"ALBA","AUTOSPECIALA","N2","IFA","","2"
"ALBA","AUTOSPECIALA","N2","IVECO","","2"
"ALBA","AUTOSPECIALA","N2","LUGOJ","","1"
"ALBA","AUTOSPECIALA","N2","MERCEDES BENZ","","5"
"ALBA","AUTOSPECIALA","N2","RENAULT","","1"
"ALBA","AUTOSPECIALA","N2","ROMAN","","5"
"ALBA","AUTOSPECIALA","N2","SR TIRGOVISTE","","3"
"ALBA","AUTOSPECIALA","N2","SRD","","2"
"ALBA","AUTOSPECIALA","N3","AB","","2"
"ALBA","AUTOSPECIALA","N3","ADK","","1"
"ALBA","AUTOSPECIALA","N3","ASTRA","","1"
"ALBA","AUTOSPECIALA","N3","AUTOMECANICA","","11"
"ALBA","AUTOSPECIALA","N3","JELEZ","","3"
"ALBA","AUTOSPECIALA","N3","KRAZ","","2"
"ALBA","AUTOSPECIALA","N3","LIAZ","","2"
"ALBA","AUTOSPECIALA","N3","MAN","","6"
"ALBA","AUTOSPECIALA","N3","MERCEDES BENZ","","6"
"ALBA","AUTOSPECIALA","N3","ROMAN","","15"
"ALBA","AUTOSPECIALA","N3","STEYR","","1"
"ALBA","AUTOSPECIALA","N3","TATRA","","5"
"ALBA","AUTOSPECIALA","N3","UBEMAR","","1"
"ALBA","AUTOSPECIALA","N3","UM TIMISOARA","","8"
"ALBA","AUTOSPECIALA","N3","UMT","","2"
"ALBA","AUTOSPECIALA","N3","VOLVO","","1"
"ALBA","AUTOSPECIALA","","AB","","1"
"ALBA","AUTOSPECIALA","","ASTRA","","1"
"ALBA","AUTOSPECIALA","","AUTOMECANICA","","4"
"ALBA","AUTOSPECIALA","","CRAIOVA","","1"
"ALBA","AUTOSPECIALA","","FIAT","","1"
"ALBA","AUTOSPECIALA","","GAZ","","1"
"ALBA","AUTOSPECIALA","","IFA","","3"
"ALBA","AUTOSPECIALA","","IFRON","","31"
"ALBA","AUTOSPECIALA","","KMZ","","1"
"ALBA","AUTOSPECIALA","","LIAZ","","1"
"ALBA","AUTOSPECIALA","","MAGIRUS","","2"
"ALBA","AUTOSPECIALA","","MERCEDES BENZ","","5"
"ALBA","AUTOSPECIALA","","ROMAN","","2"
"ALBA","AUTOSPECIALA","","TAF","","13"
"ALBA","AUTOSPECIALA","","UMT","","5"
"ALBA","AUTOSPECIALA","","UTEPS","","5"
"ALBA","AUTOSPECIALA","","ZIL","","2"
"ALBA","AUTOSPECIALIZATA","M1","AUTOBUZUL","","1"
"ALBA","AUTOSPECIALIZATA","M1","CITROEN","","1"
"ALBA","AUTOSPECIALIZATA","M1","DACIA","","4"
"ALBA","AUTOSPECIALIZATA","M1","FIAT","","2"
"ALBA","AUTOSPECIALIZATA","M1","MERCEDES BENZ","","1"
"ALBA","AUTOSPECIALIZATA","M1","PEUGEOT","","1"
"ALBA","AUTOSPECIALIZATA","M1","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","M1","TOYOTA","","1"
"ALBA","AUTOSPECIALIZATA","M1","VOLKSWAGEN","","3"
"ALBA","AUTOSPECIALIZATA","M2","ARO","","12"
"ALBA","AUTOSPECIALIZATA","M2","ROCAR","","1"
"ALBA","AUTOSPECIALIZATA","M3","AB","","1"
"ALBA","AUTOSPECIALIZATA","M3","CIG","","2"
"ALBA","AUTOSPECIALIZATA","M3","GRIVBUS","","1"
"ALBA","AUTOSPECIALIZATA","M3","ROMAN","","3"
"ALBA","AUTOSPECIALIZATA","N1","ARO","","9"
"ALBA","AUTOSPECIALIZATA","N1","AUTOBUZUL","","2"
"ALBA","AUTOSPECIALIZATA","N1","AUTOMECANICA","","3"
"ALBA","AUTOSPECIALIZATA","N1","CITROEN","","1"
"ALBA","AUTOSPECIALIZATA","N1","DACIA","","107"
"ALBA","AUTOSPECIALIZATA","N1","FIAT","","7"
"ALBA","AUTOSPECIALIZATA","N1","FORD","","10"
"ALBA","AUTOSPECIALIZATA","N1","GAZ","","3"
"ALBA","AUTOSPECIALIZATA","N1","IVECO","","5"
"ALBA","AUTOSPECIALIZATA","N1","MERCEDES BENZ","","7"
"ALBA","AUTOSPECIALIZATA","N1","MITSUBISHI","","1"
"ALBA","AUTOSPECIALIZATA","N1","PEUGEOT","","2"
"ALBA","AUTOSPECIALIZATA","N1","VOLKSWAGEN","","8"
"ALBA","AUTOSPECIALIZATA","N2","AB","","9"
"ALBA","AUTOSPECIALIZATA","N2","AUTOBUZUL","","1"
"ALBA","AUTOSPECIALIZATA","N2","AUTOMECANICA","","3"
"ALBA","AUTOSPECIALIZATA","N2","DAC","","1"
"ALBA","AUTOSPECIALIZATA","N2","DAF","","7"
"ALBA","AUTOSPECIALIZATA","N2","FORD","","1"
"ALBA","AUTOSPECIALIZATA","N2","HANOMAG","","1"
"ALBA","AUTOSPECIALIZATA","N2","IFA","","7"
"ALBA","AUTOSPECIALIZATA","N2","IVECO","","10"
"ALBA","AUTOSPECIALIZATA","N2","IVECO MAGIRUS","","3"
"ALBA","AUTOSPECIALIZATA","N2","MAN","","11"
"ALBA","AUTOSPECIALIZATA","N2","MERCEDES BENZ","","25"
"ALBA","AUTOSPECIALIZATA","N2","MULTICAR","","3"
"ALBA","AUTOSPECIALIZATA","N2","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","N2","ROBUR","","2"
"ALBA","AUTOSPECIALIZATA","N2","ROCAR","","1"
"ALBA","AUTOSPECIALIZATA","N2","ROMAN","","7"
"ALBA","AUTOSPECIALIZATA","N2","SR","","2"
"ALBA","AUTOSPECIALIZATA","N2","SR DAC","","1"
"ALBA","AUTOSPECIALIZATA","N2","SRD","","10"
"ALBA","AUTOSPECIALIZATA","N2","VOLKSWAGEN","","2"
"ALBA","AUTOSPECIALIZATA","N3","AB","","26"
"ALBA","AUTOSPECIALIZATA","N3","ARAD","","3"
"ALBA","AUTOSPECIALIZATA","N3","ASTRA","","18"
"ALBA","AUTOSPECIALIZATA","N3","AUTOMECANICA","","125"
"ALBA","AUTOSPECIALIZATA","N3","DAC","","4"
"ALBA","AUTOSPECIALIZATA","N3","DAF","","7"
"ALBA","AUTOSPECIALIZATA","N3","FIAT","","1"
"ALBA","AUTOSPECIALIZATA","N3","IVECO","","9"
"ALBA","AUTOSPECIALIZATA","N3","IVECO MAGIRUS","","4"
"ALBA","AUTOSPECIALIZATA","N3","KRAZ","","2"
"ALBA","AUTOSPECIALIZATA","N3","LIAZ","","1"
"ALBA","AUTOSPECIALIZATA","N3","MAGIRUS","","1"
"ALBA","AUTOSPECIALIZATA","N3","MAN","","18"
"ALBA","AUTOSPECIALIZATA","N3","MARSA","","311"
"ALBA","AUTOSPECIALIZATA","N3","MERCEDES BENZ","","25"
"ALBA","AUTOSPECIALIZATA","N3","METALCAR","","2"
"ALBA","AUTOSPECIALIZATA","N3","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","N3","RENAULT VI","","8"
"ALBA","AUTOSPECIALIZATA","N3","ROMAN","","282"
"ALBA","AUTOSPECIALIZATA","N3","SCANIA","","2"
"ALBA","AUTOSPECIALIZATA","N3","TATRA","","5"
"ALBA","AUTOSPECIALIZATA","N3","VOLVO","","20"
"ALBA","AUTOTRACTOR","N2","IFA","","1"
"ALBA","AUTOTRACTOR","N3","AB","","7"
"ALBA","AUTOTRACTOR","N3","ASTRA","","1"
"ALBA","AUTOTRACTOR","N3","DAF","","55"
"ALBA","AUTOTRACTOR","N3","FIAT","","1"
"ALBA","AUTOTRACTOR","N3","IVECO","","63"
"ALBA","AUTOTRACTOR","N3","IVECO MAGIRUS","","4"
"ALBA","AUTOTRACTOR","N3","LIAZ","","1"
"ALBA","AUTOTRACTOR","N3","MAN","","69"
"ALBA","AUTOTRACTOR","N3","MERCEDES BENZ","","73"
"ALBA","AUTOTRACTOR","N3","RENAULT","","4"
"ALBA","AUTOTRACTOR","N3","RENAULT VI","","13"
"ALBA","AUTOTRACTOR","N3","ROMAN","","38"
"ALBA","AUTOTRACTOR","N3","SCANIA","","20"
"ALBA","AUTOTRACTOR","N3","STEYR","","3"
"ALBA","AUTOTRACTOR","N3","VOLVO","","114"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","ALFA ROMEO 147","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","ALFA ROMEO 159","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","GT","4"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","GTV T.SPARK 16V","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","T. SPARK 1.8","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","145","6"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","146","10"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","147","16"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","155","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156","41"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156 SPORTWAGON","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156 SW","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","159","5"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","159 SPORTWAGON","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","164","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","166","7"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","33","2"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","","39"
"ALBA","AUTOTURISM","M1","ARO","","558"
"ALBA","AUTOTURISM","M1","AUDI","A 3","2"
"ALBA","AUTOTURISM","M1","AUDI","A 4","1"
"ALBA","AUTOTURISM","M1","AUDI","A 6","4"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A4","9"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A4/S4","6"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A6","4"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A6/S6","1"
"ALBA","AUTOTURISM","M1","AUDI","A2","13"
"ALBA","AUTOTURISM","M1","AUDI","A3","100"
"ALBA","AUTOTURISM","M1","AUDI","A3 SB","1"
"ALBA","AUTOTURISM","M1","AUDI","A3 TDI","4"
"ALBA","AUTOTURISM","M1","AUDI","A3/S3","1"
"ALBA","AUTOTURISM","M1","AUDI","A4","1027"
"ALBA","AUTOTURISM","M1","AUDI","A4 ALLROAD","1"
"ALBA","AUTOTURISM","M1","AUDI","A4 AVANT","65"
"ALBA","AUTOTURISM","M1","AUDI","A4 AVANT QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","A4 QUATTRO","8"
"ALBA","AUTOTURISM","M1","AUDI","A4/S4","1"
"ALBA","AUTOTURISM","M1","AUDI","A5","6"
"ALBA","AUTOTURISM","M1","AUDI","A5 SPORTBACK","1"
"ALBA","AUTOTURISM","M1","AUDI","A6","247"
"ALBA","AUTOTURISM","M1","AUDI","A6 ALLROAD QUATTRO","7"
"ALBA","AUTOTURISM","M1","AUDI","A6 AVANT","4"
"ALBA","AUTOTURISM","M1","AUDI","A6 QUATTRO","6"
"ALBA","AUTOTURISM","M1","AUDI","A7","1"
"ALBA","AUTOTURISM","M1","AUDI","A8","11"
"ALBA","AUTOTURISM","M1","AUDI","A8 QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","A8L","2"
"ALBA","AUTOTURISM","M1","AUDI","A8/S8/A8L","1"
"ALBA","AUTOTURISM","M1","AUDI","CABRIO","2"
"ALBA","AUTOTURISM","M1","AUDI","COUPE","1"
"ALBA","AUTOTURISM","M1","AUDI","KABRIOLET","1"
"ALBA","AUTOTURISM","M1","AUDI","Q5","1"
"ALBA","AUTOTURISM","M1","AUDI","Q7","1"
"ALBA","AUTOTURISM","M1","AUDI","R 8","1"
"ALBA","AUTOTURISM","M1","AUDI","S3 QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","S6","5"
"ALBA","AUTOTURISM","M1","AUDI","TT","7"
"ALBA","AUTOTURISM","M1","AUDI","TT QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","100","15"
"ALBA","AUTOTURISM","M1","AUDI","100 AVANT","2"
"ALBA","AUTOTURISM","M1","AUDI","100 QUATRO","1"
"ALBA","AUTOTURISM","M1","AUDI","100CD","1"
"ALBA","AUTOTURISM","M1","AUDI","80","194"
"ALBA","AUTOTURISM","M1","AUDI","80 AVANT","52"
"ALBA","AUTOTURISM","M1","AUDI","90","1"
"ALBA","AUTOTURISM","M1","AUDI","","828"
"ALBA","AUTOTURISM","M1","AUSTIN","","2"
"ALBA","AUTOTURISM","M1","AUSTIN ROVER","","2"
"ALBA","AUTOTURISM","M1","AUTOBUZUL","","2"
"ALBA","AUTOTURISM","M1","BENTLEY","CONTINENTAL FLYING SPUR","1"
"ALBA","AUTOTURISM","M1","BENTLEY","CONTINENTAL GT","1"
"ALBA","AUTOTURISM","M1","BINZ","","1"
